IGN,region,rank_rating,Combat_ability_1_casts,Combat_ability_1_casts/match,Combat_ability_1_casts/round,Combat_ability_2_casts,Combat_ability_2_casts/match,Combat_ability_2_casts/round,Combat_aces,Combat_acs,Combat_assists,Combat_assists/match,Combat_assists/round,Combat_clutch,Combat_clutches,Combat_clutches__1v1,Combat_clutches__1v2,Combat_clutches__1v3,Combat_clutches__1v4,Combat_clutches_lost__1v2,Combat_clutches_lost__1v3,Combat_clutches_lost__1v4,Combat_clutches_lost__1v5,Combat_damage,Combat_damage_delta_δ,Combat_damage_received,Combat_damage/match,Combat_damage/minute,Combat_damage/round,Combat_ddδ/round,Combat_dealt_bodyshots,Combat_dealt_headshots,Combat_dealt_legshots,Combat_deaths,Combat_deaths/match,Combat_deaths/round,Combat_defuses,Combat_disconnects,Combat_econ_rating,Combat_econ_rating/round,Combat_esr,Combat_first_bloods,Combat_first_bloods/match,Combat_first_bloods/round,Combat_first_deaths,Combat_first_deaths/round,Combat_flawless_rounds,Combat_grenade_casts,Combat_grenade_casts/match,Combat_grenade_casts/round,Combat_headshot,Combat_headshots,Combat_headshots/round,Combat_k/d_ratio,Combat_kad_ratio,Combat_kast,Combat_kda_ratio,Combat_kills,Combat_kills/match,Combat_kills/round,Combat_last_deaths,Combat_losses,Combat_matches_played,Combat_most_kills__match,Combat_multikills__1k,Combat_multikills__2k,Combat_multikills__3k,Combat_multikills__4k,Combat_multikills__5k,Combat_multikills__6k,Combat_mvps,Combat_plants,Combat_received_bodyshots,Combat_received_headshots,Combat_received_legshots,Combat_rounds_lost,Combat_rounds_played,Combat_rounds_survived,Combat_rounds_traded,Combat_rounds_won,Combat_score,Combat_score/match,Combat_suicides,Combat_team_aces,Combat_thrifty_rounds,Combat_ties,Combat_time_played,Combat_ultimate_casts,Combat_ultimate_casts/match,Combat_ultimate_casts/round,Combat_wins,Game_econ_rating/match,Game_matches_duration,Game_round_win,Game_rounds_duration,Game_win,Attack_acs,Attack_assists,Attack_assists/round,Attack_damage,Attack_damage_delta_δ,Attack_damage_received,Attack_damage/round,Attack_ddδ/round,Attack_deaths/round,Attack_esr,Attack_first_bloods,Attack_first_bloods/round,Attack_first_deaths,Attack_first_deaths/round,Attack_headshots,Attack_k/d_ratio,Attack_kast,Attack_kills,Attack_kills/round,Attack_plants/match,Attack_plants/round,Attack_round_win,Attack_rounds_lost,Attack_rounds_played,Attack_rounds_survived,Attack_rounds_traded,Attack_rounds_won,Attack_score,Defense_acs,Defense_assists,Defense_assists/round,Defense_damage,Defense_damage_delta_δ,Defense_damage_received,Defense_damage/round,Defense_ddδ/round,Defense_deaths,Defense_defuses/match,Defense_defuses/round,Defense_esr,Defense_first_bloods,Defense_first_bloods/round,Defense_first_deaths,Defense_first_deaths/round,Defense_headshots,Defense_k/d_ratio,Defense_kast,Defense_kills,Defense_kills/round,Defense_round_win,Defense_rounds_lost,Defense_rounds_played,Defense_rounds_survived,Defense_rounds_traded,Defense_rounds_won,Defense_score,Uncategorized_peak_rating,Uncategorized_performance_score,Uncategorized_rating
dth#2007,br,801,"2,896",15.08,0.7,"4,064",21.17,1.0,6,229.2,870,4.5,0.2,2.9%,117,66,30,15,3,98,126,140,57,"607,548","90,870","516,678","3,164.31",95.8,151.4,23,"5,222","2,787",349,"2,699",14.1,0.7,78,0,"11,856",3.0,0.55,337,1.76,0.1,280,0.1,155,"3,015",15.70,0.8,33.3%,"2,501",0.6,1.23,1.55,73.6%,1.39,"3,322",17.3,0.8,436,83,192,33,"1,282",563,221,54,7,0,27,189,"4,352","2,293",341,"1,938","4,012","1,333",520,"2,074","919,510","4,789",1,35,154,0,105h,460,2.40,0.1,109,62,33m 01s,51.7%,01m 34s,56.8%,216.0,414,0.2,"289,121","24,204","264,917",144.6,12,"1,390",0.48,128,0.1,139,0.1,"1,181",1.12,72.5%,"1,563",0.8,0.98,0.1,49.5%,"1,009","1,999",619,284,990,"431,761",242.3,452,0.2,"318,427","66,666","251,761",158.2,33,"1,309",0.41,0.0,0.60,209,0.1,141,0.1,"1,320",1.34,74.7%,"1,759",0.9,53.8%,929,"2,013",714,236,"1,084","487,749",866,781,801
9z nagzet#ana,br,799,"2,427",20.06,0.9,"2,814",23.26,1.1,3,221.3,606,5.0,0.2,3.2%,83,49,28,3,2,82,111,114,41,"386,548","63,743","322,805","3,194.61",91.9,146.8,24,"3,790","1,671",331,"1,716",14.2,0.7,55,0,"7,340",2.8,0.57,228,1.88,0.1,170,0.1,105,"2,817",23.28,1.1,28.9%,"1,513",0.6,1.21,1.56,73.0%,1.38,"2,072",17.1,0.8,371,49,121,31,806,385,128,23,4,0,16,130,"2,887","1,456",226,"1,241","2,633",937,305,"1,392","582,797","4,817",4,21,450,3,70h,316,2.61,0.1,69,61,34m 45s,52.9%,01m 35s,57.0%,213.3,280,0.2,"189,577","21,633","167,944",142.4,16,903,0.51,103,0.1,99,0.1,761,1.13,71.7%,"1,016",0.8,1.07,0.1,52.2%,636,"1,331",439,169,695,"283,891",229.6,324,0.2,"196,971","42,110","154,861",151.3,32,813,0.45,0.0,0.64,125,0.1,71,0.1,752,1.30,74.3%,"1,056",0.8,53.5%,605,"1,302",498,136,697,"298,906","1,160",762,799
gu1#2009,br,788,912,8.44,0.4,"2,483",22.99,1.2,8,269.9,507,4.7,0.2,1.7%,36,18,12,4,2,34,54,40,21,"377,374","81,174","296,200","3,494.20",118.5,177.8,38,"3,228","1,639",191,"1,541",14.3,0.7,38,0,"8,396",4.0,0.61,379,3.51,0.2,238,0.1,91,"1,076",9.96,0.5,32.4%,"1,471",0.7,1.32,1.65,75.3%,1.48,"2,034",18.8,1.0,168,36,108,35,667,362,149,39,8,0,36,50,"2,561","1,303",255,953,"2,123",617,360,"1,170","572,923","5,305",7,21,23,2,53h,266,2.46,0.1,70,78,29m 28s,55.1%,01m 29s,64.8%,268.6,273,0.3,"190,060","33,193","156,867",174.7,31,815,0.59,194,0.2,134,0.1,765,1.26,74.6%,"1,029",0.9,0.46,0.0,53.1%,510,"1,088",293,205,578,"292,231",271.2,232,0.2,"187,314","47,981","139,333",181.0,46,726,0.35,0.0,0.64,185,0.2,104,0.1,706,1.38,76.0%,"1,005",1.0,57.2%,443,"1,035",324,155,592,"280,692",897,929,788
KRÜ mta#1925,br,781,"2,331",12.74,0.6,"4,884",26.69,1.3,5,228.7,955,5.2,0.2,1.5%,58,38,15,4,0,66,91,88,45,"590,211","34,765","555,446","3,225.20",100.0,152.4,9,"5,155","2,656",610,"2,921",16.0,0.8,50,0,"10,535",2.7,0.51,393,2.15,0.1,383,0.1,152,"2,185",11.94,0.6,31.5%,"2,365",0.6,1.07,1.40,72.7%,1.24,"3,139",17.2,0.8,324,79,183,33,"1,167",596,184,50,6,0,21,225,"5,030","2,358",429,"1,840","3,874","1,028",732,"2,034","886,113","4,842",12,30,330,0,98h,492,2.69,0.1,104,58,32m 15s,52.5%,01m 31s,56.8%,212.4,440,0.2,"269,711","-13,855","283,566",140.8,-7,"1,491",0.43,179,0.1,237,0.1,"1,091",0.97,69.4%,"1,443",0.8,1.23,0.1,48.2%,992,"1,916",463,386,924,"406,909",244.7,513,0.3,"320,500","48,620","271,880",163.7,25,"1,430",0.27,0.0,0.59,214,0.1,146,0.1,"1,274",1.19,75.9%,"1,698",0.9,56.7%,848,"1,958",565,346,"1,110","479,204","1,049",725,781
LØS qck1#JD1T,br,774,"3,504",10.34,0.5,"7,618",22.47,1.1,20,268.7,"1,306",3.9,0.2,1.7%,124,68,42,8,4,100,168,148,62,"1,261,080","244,738","1,016,342","3,720.00",111.5,174.6,34,"10,478","5,144",678,"5,327",15.7,0.7,105,0,"23,105",3.2,0.60,"1,289",3.80,0.2,861,0.1,301,"3,689",10.88,0.5,31.6%,"4,677",0.6,1.29,1.53,74.2%,1.41,"6,854",20.2,0.9,541,142,339,49,"2,248","1,183",497,160,21,1,109,195,"8,736","4,408",831,"3,424","7,223","1,903","1,212","3,799","1,940,522","5,724",4,55,598,3,188h,945,2.79,0.1,194,68,33m 21s,52.6%,01m 33s,57.2%,260.8,681,0.2,"615,543","73,922","541,621",170.2,20,"2,800",0.54,579,0.2,494,0.1,"2,469",1.18,73.3%,"3,300",0.9,0.58,0.1,50.4%,"1,793","3,617",822,704,"1,824","943,390",276.5,619,0.2,"645,537","170,816","474,721",179.0,47,"2,527",0.31,0.0,0.66,710,0.2,367,0.1,"2,208",1.41,75.1%,"3,556",1.0,54.8%,"1,631","3,606","1,081",508,"1,975","997,132","1,174",896,774
TBK champzera#blssd,br,762,"1,575",9.55,0.4,"5,077",30.77,1.4,5,227.8,995,6.0,0.3,2.0%,70,33,23,10,3,79,109,107,50,"537,652","73,340","464,312","3,258.50",96.9,153.4,21,"4,881","2,358",307,"2,422",14.7,0.7,62,0,"10,189",2.9,0.57,341,2.07,0.1,258,0.1,133,"1,732",10.50,0.5,31.2%,"2,180",0.6,1.18,1.59,74.3%,1.38,"2,851",17.3,0.8,360,75,165,35,"1,098",515,180,37,7,0,28,112,"4,264","2,026",309,"1,723","3,506","1,089",520,"1,783","798,559","4,840",2,27,324,1,92h,413,2.50,0.1,89,62,33m 38s,50.9%,01m 35s,53.9%,223.4,480,0.3,"262,307","21,878","240,429",151.4,13,"1,261",0.50,139,0.1,138,0.1,"1,099",1.09,72.2%,"1,379",0.8,0.68,0.1,47.4%,912,"1,733",476,279,821,"387,184",232.0,510,0.3,"275,345","51,462","223,883",155.3,29,"1,161",0.38,0.0,0.63,202,0.1,120,0.1,"1,081",1.27,76.4%,"1,472",0.8,54.3%,811,"1,773",613,241,962,"411,375","1,054",769,762
matheuzin#JOGA,br,757,"4,204",12.26,0.6,"8,069",23.52,1.1,10,240.0,"1,620",4.7,0.2,1.4%,105,57,37,7,4,136,186,159,84,"1,164,365","129,789","1,034,576","3,394.65",103.4,159.1,18,"11,298","4,942",917,"5,459",15.9,0.7,126,0,"21,859",3.0,0.55,"1,101",3.21,0.2,912,0.1,292,"3,465",10.10,0.5,28.8%,"4,411",0.6,1.13,1.43,72.3%,1.28,"6,185",18.0,0.8,599,146,343,36,"2,234","1,123",430,89,12,0,72,158,"9,963","4,346","1,021","3,553","7,317","1,959","1,249","3,764","1,756,110","5,120",16,57,808,6,187h,913,2.66,0.1,191,64,32m 49s,51.4%,01m 32s,55.7%,226.6,796,0.2,"552,527","3,155","549,372",149.6,1,"2,914",0.47,466,0.1,522,0.1,"2,170",1.00,69.8%,"2,925",0.8,0.46,0.0,48.0%,"1,922","3,693",827,731,"1,771","836,834",253.7,812,0.2,"611,838","126,634","485,204",168.8,35,"2,545",0.37,0.0,0.62,635,0.2,390,0.1,"2,241",1.28,74.8%,"3,261",0.9,55.0%,"1,631","3,624","1,132",518,"1,993","919,276","1,017",758,757
LOUD luk xo#Deus,br,744,"4,170",12.56,0.6,"6,247",18.82,0.9,17,265.2,"1,363",4.1,0.2,1.6%,111,50,37,16,8,122,165,162,94,"1,215,584","214,456","1,001,128","3,661.40",112.1,172.2,30,"9,577","5,633",697,"5,355",16.1,0.8,88,0,"22,447",3.2,0.53,"1,188",3.58,0.2,"1,050",0.1,278,"5,467",16.47,0.8,35.4%,"5,221",0.7,1.23,1.49,70.2%,1.36,"6,605",19.9,0.9,605,144,332,37,"2,057","1,085",564,147,20,0,113,194,"8,196","4,433",515,"3,413","7,058","1,778","1,031","3,645","1,871,935","5,638",14,50,613,4,180h,817,2.46,0.1,184,68,32m 40s,51.6%,01m 32s,55.4%,254.1,633,0.2,"579,265","54,757","524,508",164.7,16,"2,798",0.50,599,0.2,606,0.2,"2,516",1.12,67.1%,"3,120",0.9,0.58,0.1,48.3%,"1,820","3,518",759,561,"1,698","893,902",276.3,730,0.2,"636,319","159,699","476,620",179.8,45,"2,557",0.27,0.0,0.57,589,0.2,444,0.1,"2,705",1.36,73.3%,"3,487",1.0,55.0%,"1,593","3,540","1,019",470,"1,947","978,033","1,080",763,744
SCCP tkzin#2008,br,739,"3,443",11.07,0.5,"6,517",20.95,1.0,18,256.1,"1,200",3.9,0.2,1.9%,125,68,43,7,5,95,148,110,56,"1,110,973","179,744","931,229","3,572.26",110.5,169.1,27,"8,861","5,087",746,"4,856",15.6,0.7,95,0,"20,622",3.1,0.56,"1,022",3.29,0.2,810,0.1,244,"2,932",9.43,0.4,34.6%,"4,643",0.7,1.24,1.48,71.7%,1.36,"6,004",19.3,0.9,457,130,311,36,"1,960","1,086",411,136,20,0,83,257,"8,130","4,043",840,"3,121","6,571","1,725","1,099","3,450","1,682,954","5,411",14,53,640,6,167h,847,2.72,0.1,175,66,32m 19s,52.5%,01m 31s,56.3%,243.5,603,0.2,"520,835","36,387","484,448",160.1,11,"2,525",0.50,497,0.2,496,0.2,"2,242",1.10,69.9%,"2,785",0.9,0.83,0.1,49.4%,"1,645","3,253",737,594,"1,608","791,994",268.5,596,0.2,"590,138","143,357","446,781",177.9,43,"2,331",0.31,0.0,0.63,525,0.2,314,0.1,"2,401",1.38,73.5%,"3,224",1.0,55.5%,"1,476","3,318",988,505,"1,842","890,960","1,098",810,739
MIBR xenom#JESUS,br,736,"1,973",8.02,0.4,"7,287",29.62,1.4,11,237.8,"1,459",5.9,0.3,2.0%,101,53,32,13,2,129,199,171,86,"800,697","132,642","668,055","3,254.87",98.9,156.0,26,"5,570","3,585",336,"3,547",14.4,0.7,63,0,"15,805",3.1,0.61,574,2.33,0.1,373,0.1,188,"2,502",10.17,0.5,37.8%,"3,398",0.7,1.23,1.64,73.7%,1.44,"4,367",17.8,0.9,616,109,246,32,"1,668",774,268,73,11,0,45,167,"5,881","2,936",364,"2,511","5,133","1,616",594,"2,622","1,220,379","4,961",3,49,538,2,134h,545,2.22,0.1,135,64,32m 54s,51.1%,01m 34s,54.9%,232.6,687,0.3,"383,071","41,180","341,891",151.5,16,"1,818",0.59,249,0.1,176,0.1,"1,659",1.16,72.2%,"2,105",0.8,0.68,0.1,47.4%,"1,329","2,529",725,329,"1,200","588,120",242.8,768,0.3,"417,626","91,462","326,164",160.4,35,"1,729",0.26,0.0,0.62,325,0.1,197,0.1,"1,739",1.31,75.2%,"2,262",0.9,54.6%,"1,182","2,604",891,265,"1,422","632,259","1,042",803,736
2G lz#2003,br,736,"3,591",10.09,0.5,"12,259",34.44,1.6,9,207.3,"2,392",6.7,0.3,2.9%,222,133,58,19,8,193,279,270,144,"1,039,920","75,107","964,813","2,921.12",85.4,136.3,10,"5,828","5,405",380,"5,136",14.4,0.7,133,0,"20,214",2.6,0.50,601,1.69,0.1,592,0.1,300,"3,173",8.91,0.4,46.5%,"4,994",0.7,1.13,1.59,72.7%,1.36,"5,798",16.3,0.8,948,158,356,37,"2,284","1,037",345,89,10,0,29,409,"8,213","4,310",503,"3,737","7,628","2,524","1,018","3,891","1,581,447","4,442",4,43,697,3,202h,763,2.14,0.1,195,57,34m 11s,51.0%,01m 35s,54.8%,204.5,"1,134",0.3,"512,939","7,624","505,315",134.5,2,"2,677",0.48,288,0.1,306,0.1,"2,470",1.06,71.5%,"2,851",0.7,1.15,0.1,48.1%,"1,979","3,814","1,157",563,"1,835","780,010",210.1,"1,249",0.3,"526,981","67,483","459,498",138.2,18,"2,459",0.37,0.0,0.52,313,0.1,286,0.1,"2,524",1.20,73.9%,"2,948",0.8,53.9%,"1,758","3,814","1,367",455,"2,056","801,437","1,128",627,736
ASPX#death,br,732,"2,259",12.41,0.6,"4,060",22.31,1.1,5,206.8,920,5.1,0.2,1.8%,68,39,18,6,2,68,92,94,54,"519,235","-18,561","537,796","2,852.94",89.9,137.8,-5,"5,959","1,978",643,"2,807",15.4,0.7,36,0,"10,145",2.7,0.48,400,2.20,0.1,429,0.1,133,"2,297",12.62,0.6,23.1%,"1,710",0.5,0.97,1.30,70.2%,1.14,"2,728",15.0,0.7,344,84,182,30,"1,094",516,147,33,6,0,17,200,"5,173","2,248",582,"1,851","3,767",950,594,"1,916","779,124","4,281",1,32,328,0,96h,398,2.19,0.1,98,56,31m 43s,50.9%,01m 31s,53.8%,201.7,420,0.2,"251,598","-28,682","280,280",133.9,-15,"1,461",0.45,205,0.1,255,0.1,898,0.91,67.5%,"1,331",0.7,1.10,0.1,46.9%,997,"1,879",414,321,882,"379,019",211.9,498,0.3,"267,637","10,121","257,516",141.8,5,"1,346",0.20,0.0,0.53,195,0.1,174,0.1,812,1.04,72.8%,"1,398",0.7,54.8%,854,"1,888",536,273,"1,034","400,105",777,474,732
SCCP sw#lau,br,727,"1,786",8.08,0.4,"6,856",31.02,1.5,7,237.2,"1,499",6.8,0.3,2.2%,104,57,35,9,1,87,130,135,57,"739,866","123,498","616,368","3,347.81",101.7,157.8,26,"5,172","3,520",375,"3,261",14.8,0.7,62,0,"13,812",2.9,0.57,534,2.42,0.1,410,0.1,162,"1,759",7.96,0.4,38.8%,"3,280",0.7,1.22,1.68,73.6%,1.45,"3,970",18.0,0.8,450,97,221,37,"1,408",727,257,74,7,1,41,220,"5,544","2,624",408,"2,251","4,690","1,431",599,"2,439","1,112,292","5,033",8,43,469,1,121h,497,2.25,0.1,123,62,32m 55s,52.0%,01m 33s,55.7%,228.8,746,0.3,"350,899","31,816","319,083",150.5,14,"1,703",0.51,254,0.1,244,0.1,"1,563",1.10,71.4%,"1,881",0.8,1.00,0.1,48.5%,"1,201","2,331",630,339,"1,130","533,298",245.4,747,0.3,"388,967","91,682","297,285",164.9,39,"1,558",0.28,0.0,0.63,280,0.1,166,0.1,"1,717",1.34,75.7%,"2,089",0.9,55.5%,"1,050","2,359",801,260,"1,309","578,994","1,095",813,727
jotinha#ssj,br,722,"2,781",17.49,0.8,"3,572",22.47,1.1,3,205.4,863,5.4,0.3,2.6%,88,51,27,8,1,94,111,110,60,"458,272","26,371","431,901","2,882.21",86.6,135.9,8,"3,584","2,003",286,"2,350",14.8,0.7,64,0,"9,546",2.8,0.52,359,2.26,0.1,331,0.1,109,"2,321",14.60,0.7,34.1%,"1,743",0.5,1.02,1.39,71.2%,1.21,"2,407",15.1,0.7,406,75,159,34,"1,019",421,140,28,3,0,9,285,"3,714","1,933",337,"1,666","3,371","1,038",485,"1,705","692,236","4,354",4,23,325,2,88h,452,2.84,0.1,82,60,33m 16s,50.6%,01m 34s,51.6%,196.2,413,0.2,"219,300","-5,305","224,605",129.2,-3,"1,222",0.46,164,0.1,191,0.1,843,0.94,69.7%,"1,150",0.7,1.79,0.2,49.0%,865,"1,697",484,278,832,"332,924",214.6,446,0.3,"238,972","31,676","207,296",142.8,19,"1,128",0.40,0.0,0.58,195,0.1,140,0.1,900,1.12,72.6%,"1,258",0.8,52.2%,801,"1,674",554,207,873,"359,312",838,557,722
F4T sanoj#goat,br,716,"1,959",13.15,0.6,"3,437",23.07,1.1,6,224.7,626,4.2,0.2,1.7%,54,21,26,4,1,44,72,71,26,"479,576","16,723","462,853","3,218.63",95.1,149.4,5,"4,165","2,326",304,"2,410",16.2,0.8,52,0,"8,617",2.7,0.50,411,2.76,0.1,413,0.1,131,"1,249",8.38,0.4,34.2%,"2,020",0.6,1.06,1.32,71.0%,1.19,"2,544",17.1,0.8,239,69,149,31,974,452,156,42,6,0,20,185,"4,300","2,030",336,"1,578","3,209",806,574,"1,631","721,096","4,840",5,18,432,2,84h,465,3.12,0.1,78,58,33m 51s,50.8%,01m 34s,52.3%,215.3,286,0.2,"226,635","-10,468","237,103",142.4,-7,"1,233",0.41,173,0.1,245,0.2,985,0.98,69.4%,"1,206",0.8,1.24,0.1,48.7%,816,"1,591",364,324,775,"342,515",234.0,338,0.2,"252,941","27,191","225,750",156.3,17,"1,177",0.35,0.0,0.59,238,0.1,168,0.1,"1,035",1.14,72.6%,"1,338",0.8,52.9%,762,"1,618",442,250,856,"378,581",786,617,716
GRE prince#zudo,br,711,"3,751",15.00,0.7,"5,909",23.64,1.1,9,209.6,"1,405",5.6,0.3,2.3%,125,72,34,9,7,134,203,202,88,"756,667","57,117","699,550","3,026.67",89.5,141.1,11,"5,446","3,271",405,"3,723",14.9,0.7,87,0,"14,117",2.6,0.54,498,1.99,0.1,423,0.1,204,"3,513",14.05,0.7,35.9%,"3,006",0.6,1.07,1.45,72.2%,1.26,"3,988",16.0,0.7,665,112,250,31,"1,694",704,219,45,10,0,20,435,"5,927","3,151",395,"2,626","5,362","1,626",718,"2,736","1,123,877","4,496",0,50,454,5,140h,664,2.66,0.1,133,56,33m 48s,51.0%,01m 34s,53.2%,206.4,691,0.3,"364,238","5,986","358,252",138.7,2,"1,890",0.52,202,0.1,187,0.1,"1,502",1.03,71.0%,"1,941",0.7,1.74,0.2,47.8%,"1,370","2,627",731,377,"1,257","542,156",212.7,706,0.3,"392,429","51,131","341,298",143.5,19,"1,833",0.35,0.0,0.56,296,0.1,236,0.1,"1,504",1.12,73.3%,"2,048",0.7,54.1%,"1,256","2,735",895,341,"1,479","581,721","1,040",623,711
predestined#baby,br,707,"2,645",14.61,0.7,"4,200",23.20,1.1,9,246.3,920,5.1,0.2,1.5%,59,37,14,5,1,66,98,80,54,"619,621","71,551","548,070","3,423.32",104.2,160.3,19,"4,532","2,881",276,"2,898",16.0,0.7,49,0,"11,032",2.9,0.55,580,3.20,0.2,478,0.1,149,"2,120",11.71,0.5,37.5%,"2,572",0.7,1.15,1.46,71.5%,1.31,"3,325",18.4,0.9,322,82,181,47,"1,184",555,235,69,10,0,51,147,"4,988","2,350",496,"1,879","3,866",981,602,"1,987","952,064","5,260",4,33,330,0,99h,499,2.76,0.1,99,61,32m 52s,51.4%,01m 32s,54.7%,238.9,443,0.2,"307,924","12,283","295,641",154.3,6,"1,553",0.50,297,0.1,294,0.1,"1,320",1.08,69.1%,"1,674",0.8,0.81,0.1,49.1%,"1,016","1,996",452,324,980,"476,900",254.1,476,0.3,"311,697","59,268","252,429",166.7,32,"1,345",0.27,0.0,0.61,283,0.2,184,0.1,"1,252",1.23,74.1%,"1,651",0.9,53.9%,863,"1,870",529,278,"1,007","475,164","1,105",754,707
Adasmeee#Clara,br,699,"2,693",8.14,0.4,"7,173",21.67,1.0,12,248.6,"1,235",3.7,0.2,1.4%,94,52,29,10,2,103,171,115,57,"1,141,254","146,379","994,875","3,447.90",106.5,164.0,21,"9,971","4,260",756,"5,211",15.7,0.7,70,0,"21,464",3.1,0.56,"1,197",3.62,0.2,959,0.1,268,"3,656",11.05,0.5,28.4%,"3,882",0.6,1.17,1.40,71.4%,1.28,"6,077",18.4,0.9,508,138,331,34,"2,100","1,081",434,107,17,0,85,201,"8,797","4,258",947,"3,328","6,959","1,753","1,153","3,631","1,730,059","5,227",3,67,836,5,178h,899,2.72,0.1,188,65,32m 22s,52.2%,01m 32s,56.8%,230.3,556,0.2,"527,479","7,979","519,500",152.2,2,"2,731",0.49,540,0.2,565,0.2,"2,019",1.02,68.6%,"2,786",0.8,0.61,0.1,49.2%,"1,762","3,466",739,667,"1,704","798,380",266.7,677,0.2,"613,775","138,400","475,375",175.7,40,"2,480",0.21,0.0,0.63,657,0.2,394,0.1,"1,863",1.33,74.2%,"3,291",0.9,55.2%,"1,566","3,493","1,014",486,"1,927","931,679",983,771,699
KLG sh0twell#moon,latam,"1,029","2,634",16.99,0.8,"3,016",19.46,0.9,8,258.3,853,5.5,0.3,2.9%,95,50,30,12,1,68,107,91,58,"577,837","158,225","419,612","3,727.98",115.2,174.5,48,"5,395","2,304",490,"2,173",14.0,0.7,74,0,"10,665",3.2,0.56,394,2.54,0.1,314,0.1,132,"2,286",14.75,0.7,28.1%,"2,120",0.6,1.39,1.79,76.3%,1.59,"3,028",19.5,0.9,348,48,155,38,997,544,203,70,11,0,44,140,"3,933","1,805",343,"1,497","3,311","1,136",525,"1,814","855,390","5,519",7,19,232,4,83h,467,3.01,0.1,103,69,32m 21s,54.8%,01m 30s,66.5%,250.7,395,0.2,"287,037","61,189","225,848",169.2,36,"1,180",0.50,182,0.1,181,0.1,"1,072",1.27,73.5%,"1,504",0.9,0.90,0.1,51.0%,831,"1,696",518,305,865,"425,173",266.4,456,0.3,"290,800","97,036","193,764",180.1,60,993,0.48,0.0,0.61,212,0.1,133,0.1,"1,048",1.54,79.3%,"1,525",0.9,58.8%,666,"1,615",618,220,949,"430,217","1,029",934,"1,029"
ativik#qkw,latam,971,978,4.13,0.2,"10,757",45.39,2.1,14,266.4,"2,070",8.7,0.4,2.1%,105,67,20,16,2,100,126,103,40,"882,741","85,306","797,435","3,724.65",118.7,175.6,17,"9,809","3,314",663,"4,099",17.3,0.8,78,0,"17,026",3.4,0.55,472,1.99,0.1,385,0.1,180,"1,912",8.07,0.4,24.0%,"3,022",0.6,1.14,1.64,79.8%,1.39,"4,671",19.7,0.9,433,99,237,37,"1,552",833,327,98,16,0,72,624,"7,302","3,400",562,"2,413","5,027","1,549","1,101","2,614","1,339,254","5,651",70,39,789,4,123h,657,2.77,0.1,134,72,31m 22s,52.0%,01m 28s,56.5%,259.3,988,0.4,"428,490","20,027","408,463",171.1,8,"2,085",0.49,191,0.1,199,0.1,"1,472",1.09,78.9%,"2,272",0.9,2.63,0.2,49.5%,"1,264","2,504",757,608,"1,240","649,264",273.5,"1,077",0.4,"454,251","65,279","388,972",180.0,26,"2,014",0.33,0.0,0.60,281,0.1,186,0.1,"1,550",1.19,80.7%,"2,399",1.0,54.5%,"1,149","2,523",792,493,"1,374","689,990",993,887,971
KRÜ Mazino#nicol,latam,903,"1,569",13.64,0.7,"2,997",26.06,1.3,7,275.2,734,6.4,0.3,2.6%,61,30,15,8,4,39,47,70,38,"434,755","118,419","316,336","3,780.48",121.6,183.5,50,"3,839","1,915",287,"1,652",14.4,0.7,35,0,"8,426",3.6,0.58,224,1.95,0.1,164,0.1,100,"1,589",13.82,0.7,31.7%,"1,784",0.8,1.42,1.87,78.7%,1.64,"2,347",20.4,1.0,205,37,115,44,714,413,176,60,7,1,34,171,"2,744","1,405",222,"1,063","2,369",762,440,"1,306","652,047","5,670",7,12,178,1,59h,293,2.55,0.1,77,73,31m 04s,55.1%,01m 30s,67.0%,262.2,369,0.3,"213,739","45,201","168,538",173.9,37,894,0.49,96,0.1,99,0.1,896,1.30,77.0%,"1,166",0.9,1.49,0.1,51.3%,599,"1,229",364,244,630,"322,282",289.3,365,0.3,"221,016","73,218","147,798",193.9,64,758,0.30,0.0,0.66,128,0.1,65,0.1,888,1.56,80.5%,"1,183",1.0,59.3%,464,"1,140",398,196,676,"329,765","1,083",960,903
ZEN miyeon#Aline,latam,877,"4,806",19.86,0.9,"5,899",24.38,1.1,9,264.7,"1,394",5.8,0.3,2.5%,131,75,38,15,2,103,145,133,61,"903,172","215,002","688,170","3,732.12",116.3,175.6,42,"7,280","3,829",516,"3,622",15.0,0.7,104,0,"16,533",3.2,0.58,749,3.10,0.1,553,0.1,204,"4,040",16.69,0.8,32.9%,"3,533",0.7,1.32,1.71,75.4%,1.51,"4,785",19.8,0.9,485,98,242,40,"1,553",883,343,91,14,1,65,252,"6,641","2,870",610,"2,426","5,142","1,546",780,"2,716","1,361,284","5,625",10,34,350,1,129h,742,3.07,0.1,143,68,32m 05s,52.8%,01m 30s,59.1%,257.6,676,0.3,"435,880","67,160","368,720",169.6,26,"1,943",0.51,341,0.1,334,0.1,"1,758",1.20,73.2%,"2,331",0.9,1.04,0.1,48.7%,"1,318","2,570",643,449,"1,252","661,926",271.9,717,0.3,"467,292","147,842","319,450",181.7,57,"1,678",0.43,0.0,0.65,408,0.2,219,0.1,"1,775",1.46,77.7%,"2,457",1.0,56.9%,"1,108","2,572",903,331,"1,464","699,358",993,913,877
